date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:52	56468/56468	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.woff	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.woff	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:52	44720/44720	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.woff2	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.woff2	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:53	99564/99564	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.ttf	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.ttf	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:53	182837/182837	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.svg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/weathericons/weathericons-regular-webfont.svg	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:54	109248/109248	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.woff2	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.woff2	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:54	292776/292776	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.eot	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.eot	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:54	144072/144072	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.woff	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.woff	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:56	54266/54266	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.eot	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.eot	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:56	292556/292556	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.ttf	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.ttf	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:56	30064/30064	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.woff2	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.woff2	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:57	54056/54056	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.ttf	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.ttf	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:57	81332/81332	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.woff	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.woff	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:58	64468/64468	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.eot	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.eot	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:59	238659/238659	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.svg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/simple-line-icons/Simple-Line-Icons.svg	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:59	2217237/2217237	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfont.svg?	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/materialdesignicons/materialdesignicons-webfontd41d.svg	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:24:59	28984/28984	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.woff	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.woff	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:00	66816/66816	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.ttf	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.ttf	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:00	112650/112650	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2013%20May%202019%2023:37:04%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons.eot	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons.eot	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:00	166680/166680	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.svg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/feather/feather-webfont.svg	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:00	50632/50632	---M--	200	added ('OK')	font/woff2	date:Mon,%2013%20May%202019%2023:37:04%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons.woff2?v=4.2.5	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons53d0.woff2	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:01	65912/65912	---M--	200	added ('OK')	font/woff	date:Mon,%2013%20May%202019%2023:37:04%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons.woff?v=4.2.5	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons53d0.woff	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:01	112472/112472	---M--	200	added ('OK')	font/ttf	date:Mon,%2013%20May%202019%2023:37:04%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons.ttf?v=4.2.5	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons53d0.ttf	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:02	312749/312749	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20May%202019%2023:37:04%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons.svg?v=4.2.5	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/fonts/ionicons/ionicons53d0.svg	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/plugin.css)
09:25:03	307914/307914	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Apr%202021%2015:53:56%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/8.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/8.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:03	413383/413383	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2000:45:48%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/6.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/6.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:03	290797/290797	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Apr%202021%2015:59:46%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/13.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/13.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:04	1531/1531	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Jul%202018%2001:29:14%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/owl-carousel/cursor.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/owl-carousel/cursor.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:04	4071/4071	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Sep%202021%2015:20:56%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_upload.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_upload.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:05	3430/3430	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jan%202020%2000:13:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_microphone.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_microphone.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:05	3747/3747	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jan%202020%2000:13:52%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_webcam.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_webcam.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:05	3135/3135	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Sep%202021%2015:47:34%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_okay.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_okay.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:06	3009/3009	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Sep%202021%2016:04:54%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_remove.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/fancyuploder/fancy_remove.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:06	4178/4178	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Feb%202019%2016:19:10%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/gallery/loading.gif	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/gallery/loading.gif	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:07	63284/63284	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202020%2020:32:52%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/plugins/telephoneinput/img/flags16.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/plugins/telephoneinput/img/flags16.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:08	79021/79021	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202019%2000:41:40%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/bg.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/bg.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:08	138426/138426	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Oct%202019%2016:31:14%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/pngs/bg.png	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/pngs/bg.png	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:09	135398/135398	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Jun%202021%2017:05:54%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/alert-bg.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/alert-bg.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:10	39611/39611	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Mar%202022%2022:26:32%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img1.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img1.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/transparent-style.css)
09:25:10	29730/29730	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2020:17:52%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img2.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img2.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/transparent-style.css)
09:25:10	34203/34203	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Jan%202022%2021:06:26%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img3.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img3.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/transparent-style.css)
09:25:10	408426/408426	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Jul%202021%2019:15:52%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-profileimage.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-profileimage.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/style.css)
09:25:11	31538/31538	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Mar%202022%2022:15:50%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img4.jpg	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/img/media/bg-img4.jpg	(from https://spruko.com/demo/dashplex/Dashplex/assets/css/transparent-style.css)
09:25:15	92004/92004	---M--	200	added ('OK')	font/woff2	date:Wed,%2010%20Nov%202021%2018:33:46%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/bootstrap-icons/font/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/bootstrap-icons/font/fonts/bootstrap-icons3413.woff2	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/bootstrap-icons/font/bootstrap-icons.css)
09:25:16	123408/123408	---M--	200	added ('OK')	font/woff	date:Wed,%2010%20Nov%202021%2018:33:46%20GMT	https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/bootstrap-icons/font/fonts/bootstrap-icons.woff?a74547b2f0863226942ff8ded57db345	C:/My%20Web%20Sites/A_world%20profile/spruko.com/demo/dashplex/Dashplex/assets/web-fonts/bootstrap-icons/font/fonts/bootstrap-icons3413.woff	(from https://spruko.com/demo/dashplex/Dashplex/assets/web-fonts/bootstrap-icons/font/bootstrap-icons.css)
